,Date,Precipitation (mm)
198,2010-05-13,2.001500129699707
341,2010-05-14,0.004500000116725762
167,2010-05-15,0.34416667620340985
56,2010-05-16,0.0
298,2010-05-17,0.0
229,2010-05-18,0.0
216,2010-05-19,6.68316650390625
342,2010-05-20,0.0003333333491658171
362,2010-05-21,2.109499931335449
42,2010-05-22,9.361833572387695
160,2010-05-23,2.7274999618530273
332,2010-05-24,12.15500005086263
58,2010-05-25,11.928000132242838
274,2010-05-26,0.0
218,2010-05-27,0.0
222,2010-05-28,0.0
235,2010-05-29,0.6811666488647461
245,2010-05-30,1.2121666272481282
316,2010-05-31,0.0
336,2010-06-01,0.4508333206176758
21,2010-06-02,5.640166600545247
191,2010-06-03,0.0
112,2010-06-04,0.7750000158945719
249,2010-06-05,2.450833320617676
110,2010-06-06,0.0
151,2010-06-07,0.0
182,2010-06-08,2.607333183288574
80,2010-06-09,0.0026666667933265367
51,2010-06-10,7.600500106811523
181,2010-06-11,2.5146665573120117
159,2010-06-12,13.027000427246094
152,2010-06-13,17.183334350585938
122,2010-06-14,4.575833002726237
266,2010-06-15,0.0
297,2010-06-16,0.2833333412806193
213,2010-06-17,4.554333368937175
345,2010-06-18,0.0
284,2010-06-19,0.0
43,2010-06-20,0.0
301,2010-06-21,0.0
92,2010-06-22,0.0
307,2010-06-23,0.0
347,2010-06-24,0.0
4,2010-06-25,0.0
247,2010-06-26,0.0
237,2010-06-27,0.0
47,2010-06-28,0.0
124,2010-06-29,0.0
276,2010-06-30,0.0
126,2010-07-01,0.0
29,2010-07-02,0.0
253,2010-07-03,0.0
324,2010-07-04,0.0
154,2010-07-05,0.0
105,2010-07-06,0.0
328,2010-07-07,0.0
314,2010-07-08,0.0
240,2010-07-09,1.722333272298177
145,2010-07-10,0.0
76,2010-07-11,0.0
172,2010-07-12,0.0
334,2010-07-13,0.0
344,2010-07-14,0.0
158,2010-07-15,0.0
304,2010-07-16,0.0
352,2010-07-17,0.0
52,2010-07-18,0.0
132,2010-07-19,0.0
79,2010-07-20,0.0
109,2010-07-21,0.0
108,2010-07-22,2.4533332188924155
323,2010-07-23,0.0
170,2010-07-24,0.0
282,2010-07-25,0.0
147,2010-07-26,0.0
311,2010-07-27,0.5276666879653931
227,2010-07-28,0.0
168,2010-07-29,0.0
20,2010-07-30,0.2415000001589457
251,2010-07-31,0.0
15,2010-08-01,0.8449999491373698
106,2010-08-02,1.4211665789286296
40,2010-08-03,0.0
177,2010-08-04,0.0043333334227403
84,2010-08-05,0.0
59,2010-08-06,3.2143332163492837
225,2010-08-07,2.2864999771118164
131,2010-08-08,0.003000000181297461
270,2010-08-09,0.0
17,2010-08-10,0.0
242,2010-08-11,0.0
215,2010-08-12,0.0
348,2010-08-13,0.0
164,2010-08-14,0.0
146,2010-08-15,0.0
313,2010-08-16,0.0
67,2010-08-17,0.0
351,2010-08-18,0.0
234,2010-08-19,0.0
7,2010-08-20,3.50849978129069
363,2010-08-21,0.0
179,2010-08-22,0.0
73,2010-08-23,7.954166412353516
104,2010-08-24,0.0
349,2010-08-25,0.0
320,2010-08-26,0.0
61,2010-08-27,0.0
3,2010-08-28,2.459499994913737
130,2010-08-29,4.792666435241699
290,2010-08-30,1.6986667315165203
280,2010-08-31,10.33883285522461
248,2010-09-01,0.0
289,2010-09-02,0.0
299,2010-09-03,0.0
36,2010-09-04,0.0
260,2010-09-05,0.0
285,2010-09-06,0.0
27,2010-09-07,0.0
330,2010-09-08,0.621999979019165
88,2010-09-09,1.9299999872843425
312,2010-09-10,5.771333694458008
116,2010-09-11,0.0
202,2010-09-12,0.0
338,2010-09-13,0.0
195,2010-09-14,0.0
161,2010-09-15,0.0
70,2010-09-16,0.0
278,2010-09-17,0.0
140,2010-09-18,0.0
288,2010-09-19,0.0
107,2010-09-20,0.0
209,2010-09-21,0.00016666667458290854
339,2010-09-22,2.5764999389648438
184,2010-09-23,0.0
99,2010-09-24,0.0
35,2010-09-25,0.0
296,2010-09-26,0.0
178,2010-09-27,0.0
115,2010-09-28,0.0
256,2010-09-29,0.0
155,2010-09-30,0.0
153,2010-10-01,0.0
102,2010-10-02,0.0
24,2010-10-03,0.0
335,2010-10-04,2.6426666577657065
359,2010-10-05,4.344333330790202
262,2010-10-06,1.3720000584920247
350,2010-10-07,0.6988333066304525
197,2010-10-08,3.100833257039388
273,2010-10-09,6.660499572753906
31,2010-10-10,0.0
121,2010-10-11,0.0
142,2010-10-12,0.0
188,2010-10-13,0.0
175,2010-10-14,0.0
238,2010-10-15,0.0
305,2010-10-16,0.0
103,2010-10-17,0.0
34,2010-10-18,0.0
354,2010-10-19,0.0
32,2010-10-20,0.0
166,2010-10-21,0.0
287,2010-10-22,0.0
333,2010-10-23,0.0
327,2010-10-24,5.539000193277995
183,2010-10-25,46.38133748372396
16,2010-10-26,10.974166870117188
137,2010-10-27,11.020665486653646
139,2010-10-28,0.0
75,2010-10-29,0.26183334986368817
194,2010-10-30,0.9353334108988444
203,2010-10-31,1.3198332786560059
318,2010-11-01,3.5974998474121094
162,2010-11-02,0.0
176,2010-11-03,0.0
125,2010-11-04,0.0
210,2010-11-05,0.0
246,2010-11-06,0.0
163,2010-11-07,0.0
128,2010-11-08,0.6101666688919067
190,2010-11-09,4.605166753133138
41,2010-11-10,0.07866666714350383
355,2010-11-11,1.6429999669392903
364,2010-11-12,0.0
150,2010-11-13,0.00216666671137015
174,2010-11-14,1.0951666831970215
144,2010-11-15,8.063833236694336
212,2010-11-16,6.421499888102214
233,2010-11-17,9.189666748046875
135,2010-11-18,0.0
69,2010-11-19,1.6255000432332356
46,2010-11-20,0.0
223,2010-11-21,24.088831583658855
309,2010-11-22,10.382499694824219
91,2010-11-23,13.155832926432291
143,2010-11-24,13.754498799641928
356,2010-11-25,0.0
148,2010-11-26,0.0023333334053556123
275,2010-11-27,0.04233333468437195
23,2010-11-28,1.1409999529520671
255,2010-11-29,4.41183344523112
291,2010-11-30,0.0
53,2010-12-01,2.8348331451416016
186,2010-12-02,4.786166826883952
257,2010-12-03,4.369500160217285
200,2010-12-04,6.677666982014974
293,2010-12-05,6.175833384195964
12,2010-12-06,0.0
48,2010-12-07,13.854000091552734
6,2010-12-08,0.0
169,2010-12-09,0.0
44,2010-12-10,0.4569999774297078
187,2010-12-11,22.807167053222656
78,2010-12-12,0.0
9,2010-12-13,0.0
134,2010-12-14,0.0
30,2010-12-15,11.59649912516276
208,2010-12-16,2.015500068664551
325,2010-12-17,0.0
258,2010-12-18,3.983666737874349
226,2010-12-19,15.077000935872396
113,2010-12-20,25.97466532389323
28,2010-12-21,6.49566650390625
283,2010-12-22,5.124333381652832
55,2010-12-23,9.29616673787435
300,2010-12-24,0.0
90,2010-12-25,0.0
357,2010-12-26,0.0
8,2010-12-27,0.5568333466847738
306,2010-12-28,0.0
62,2010-12-29,1.3531665802001953
5,2010-12-30,22.649332682291668
254,2010-12-31,0.5010000069936117
