Station ID,State,Network,Station Name,Latitude,Longitude,Elevation,HUC2 (2-digit),HUC2 Name,HUC4 (4-digit),HUC4 Name,HUC6 (6-digit),HUC6 Name,HUC8 (8-digit),HUC8 Name,HUC10 (10-digit),HUC10 Name,HUC12 (12-digit),HUC12 Name,Report Time Zone (Offset from GMT),Start Date,End Date
1212,AZ,SNOTEL,Bar M,34.86136,-111.60503,6393,15,Lower Colorado Region,1506,Salt,150602,Verde,15060202,Upper Verde,1506020206,Beaver Creek,1.51E+11,Bar M Canyon,-8,9/6/2012,1/1/2100
313,MT,SNOTEL,Barker Lakes,46.09713,-113.13038,8250,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010201,Upper Clark Fork,1701020103,Warm Springs Creek,1.70E+11,Warm Springs Creek-West Valley,-8,8/1/1977,1/1/2100
314,WY,SNOTEL,Base Camp,43.94019,-110.44544,7060,17,Pacific Northwest Region,1704,Upper Snake,170401,Snake Headwaters,17040101,Snake Headwaters,1704010103,Moose Creek-Snake River,1.70E+11,Berry Creek,-8,10/1/1979,1/1/2100
315,MT,SNOTEL,Basin Creek,45.79737,-112.52047,7180,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010201,Upper Clark Fork,1701020102,Silver Bow Creek Headwaters,1.70E+11,Basin Creek,-8,10/1/1976,1/1/2100
316,NM,SNOTEL,Bateman,36.51216,-106.32129,9300,13,Rio Grande Region,1302,Rio Grande-Elephant Butte,130201,Upper Rio Grande,13020102,Rio Chama,1302010209,Arroyo Seco,1.30E+11,Montoya Canyon-Canjilon Creek,-8,10/1/1978,1/1/2100
317,WY,SNOTEL,Battle Mountain,41.05413,-107.26609,7440,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050003,Little Snake,1405000301,Little Snake River-Battle Creek,1.41E+11,West Fork Battle Creek,-8,10/1/1985,1/1/2100
318,MT,SNOTEL,Beagle Springs,44.47147,-112.98191,8850,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020001,Red Rock,1002000105,Nicholia Creek,1.00E+11,Upper Nicholia Creek,-8,10/1/1976,1/1/2100
319,ID,SNOTEL,Bear Basin,44.95222,-116.14293,5350,17,Pacific Northwest Region,1706,Lower Snake,170602,Salmon,17060210,Little Salmon,1706021001,Upper Little Salmon River,1.71E+11,Upper Goose Creek,-8,10/1/1979,1/1/2100
320,ID,SNOTEL,Bear Canyon,43.74367,-113.93797,7900,17,Pacific Northwest Region,1704,Upper Snake,170402,Upper Snake,17040218,Big Lost,1704021801,Star Hope Creek,1.70E+11,Upper Star Hope Creek,-8,10/1/1979,1/1/2100
321,NV,SNOTEL,Bear Creek,41.83384,-115.45278,8040,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050102,Bruneau,1705010203,Upper Jarbidge River,1.71E+11,West Fork Pine Creek-Jarbidge River,-8,3/1/1976,1/1/2100
1166,OR,SNOTEL,Bear Grass,44.3253,-122.0938,4720,17,Pacific Northwest Region,1709,Willamette,170900,Willamette,17090004,Mckenzie,1709000402,Headwaters McKenzie River,1.71E+11,Smith River,-8,7/18/2011,1/1/2100
322,CO,SNOTEL,Bear Lake,40.31118,-105.64483,9500,10,Missouri Region,1019,South Platte,101900,South Platte,10190006,Big Thompson,1019000602,Headwaters Big Thompson River,1.02E+11,Glacier Creek,-8,10/1/1979,1/1/2100
323,ID,SNOTEL,Bear Mountain,48.30577,-116.07448,5400,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010213,Lower Clark Fork,1701021312,Lightning Creek,1.70E+11,Middle Lightning Creek,-8,10/1/1979,1/1/2100
1061,CO,SNOTEL,Bear River,40.06153,-107.00955,9080,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000101,Headwaters Yampa River,1.41E+11,Yamcolo Reservoir-Bear River,-8,10/1/2004,1/1/2100
992,UT,SNOTEL,Bear River RS,40.8852,-110.8277,8777,16,Great Basin Region,1601,Bear,160101,Upper Bear,16010101,Upper Bear,1601010101,Stillwater Fork-Bear River,1.60E+11,Cottonwood Creek-Mill Creek,-8,10/28/2010,1/1/2100
324,ID,SNOTEL,Bear Saddle,44.60533,-116.98097,6180,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050124,Weiser,1705012410,Mann Creek,1.71E+11,Upper Mann Creek,-8,10/1/1979,1/1/2100
325,WY,SNOTEL,Bear Trap Meadow,43.88743,-107.06135,8200,10,Missouri Region,1009,Powder-Tongue,100902,Powder,10090201,Middle Fork Powder,1009020102,Lower Middle Fork Powder River,1.01E+11,Upper North Fork Red Fork Powder River,-8,10/1/1979,1/1/2100
326,WY,SNOTEL,Beartooth Lake,44.94307,-109.56743,9360,10,Missouri Region,1007,Upper Yellowstone,100700,Upper Yellowstone,10070006,Clarks Fork Yellowstone,1007000602,Crandall Creek,1.01E+11,Beartooth Creek,-8,10/1/1979,1/1/2100
327,CO,SNOTEL,Beartown,37.71409,-107.51212,11600,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010001,Rio Grande Headwaters,1301000101,Headwaters Rio Grande,1.30E+11,Bear Creek-Rio Grande,-8,10/1/1979,1/1/2100
1041,CO,SNOTEL,Beaver Ck Village,39.59917,-106.51142,8500,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010003,Eagle,1401000303,Middle Eagle River,1.40E+11,Beaver Creek-Eagle Creek,-8,11/1/2002,1/1/2100
328,MT,SNOTEL,Beaver Creek,44.94966,-111.35852,7850,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020007,Madison,1002000704,Earthquake Lake-Madison River,1.00E+11,Upper Beaver Creek,-8,10/1/1966,1/1/2100
329,UT,SNOTEL,Beaver Dams,39.13683,-111.55813,7990,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030004,San Pitch,1603000404,Twelvemile Creek,1.60E+11,Headwaters Twelvemile Creek,-8,6/18/1980,1/1/2100
330,UT,SNOTEL,Beaver Divide,40.61233,-111.09782,8280,16,Great Basin Region,1602,Great Salt Lake,160202,Jordan,16020203,Provo,1602020301,Soapstone Creek-Provo River,1.60E+11,Shingle Creek-Provo River,-8,10/1/1978,1/1/2100
902,AZ,SNOTEL,Beaver Head,33.69144,-109.21657,7990,15,Lower Colorado Region,1506,Salt,150601,Salt,15060101,Black,1506010101,Upper Black River,1.51E+11,Upper Beaver Creek,-8,10/1/1993,1/1/2100
990,WA,SNOTEL,Beaver Pass,48.8793,-121.2555,3630,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110005,Upper Skagit,1711000506,Cascade River,1.71E+11,Upper Big Beaver Creek,-8,10/1/2000,1/1/2100
331,OR,SNOTEL,Beaver Reservoir,45.14532,-118.219,5150,17,Pacific Northwest Region,1706,Lower Snake,170601,Lower Snake,17060104,Upper Grande Ronde,1706010403,Beaver Creek-Grande Ronde River,1.71E+11,Upper Beaver Creek,-8,10/1/1979,1/1/2100
1143,AZ,SNOTEL,Beaver Spring,36.32678,-109.05711,9200,14,Upper Colorado Region,1408,San Juan,140802,Lower San Juan,14080204,Chinle,1408020404,Canyon del Muerto,1.41E+11,Tsaile Creek-Tsaile Lake,-8,10/1/2009,1/1/2100
332,UT,SNOTEL,Ben Lomond Peak,41.37603,-111.94405,7689,16,Great Basin Region,1602,Great Salt Lake,160201,Weber,16020102,Lower Weber,1602010203,Outlet Ogden River,1.60E+11,Cutler Creek-North Fork Ogden River,-8,10/1/1978,1/1/2100
333,UT,SNOTEL,Ben Lomond Trail,41.38291,-111.92103,5972,16,Great Basin Region,1602,Great Salt Lake,160201,Weber,16020102,Lower Weber,1602010203,Outlet Ogden River,1.60E+11,Cutler Creek-North Fork Ogden River,-8,6/3/1980,1/1/2100
334,NV,SNOTEL,Berry Creek,39.31917,-114.62278,9377,16,Great Basin Region,1606,Central Nevada Desert Basins,160600,Central Nevada Desert Basins,16060008,Spring-Steptoe Valleys,1606000813,Headwaters Duck Creek,1.61E+11,Berry Creek,-8,10/1/1980,1/1/2100
335,CO,SNOTEL,Berthoud Summit,39.80392,-105.77789,11300,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000102,Fraser River,1.40E+11,Upper Fraser River,-8,9/1/1963,1/1/2100
1214,UT,SNOTEL,Bevans Cabin,40.46182,-112.25233,6520,16,Great Basin Region,1602,Great Salt Lake,160203,Great Salt Lake,16020304,Rush-Tooele Valleys,1602030404,Settlement Canyon-Frontal Great Salt Lake,1.60E+11,Settlement Canyon,-8,10/1/2012,1/1/2100
336,NV,SNOTEL,Big Bend,41.76168,-115.6931,6898,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050104,Upper Owyhee,1705010401,Headwaters Owyhee River,1.71E+11,Martin Creek,-8,10/1/1978,1/1/2100
337,NV,SNOTEL,Big Creek Sum,39.29148,-117.11506,8685,16,Great Basin Region,1604,Black Rock Desert-Humboldt,160401,Humboldt,16040107,Reese,1604010703,Big Creek-Reese River,1.60E+11,Big Creek,-8,10/1/1980,1/1/2100
338,ID,SNOTEL,Big Creek Summit,44.62621,-115.79561,6560,17,Pacific Northwest Region,1706,Lower Snake,170602,Salmon,17060208,South Fork Salmon,1706020804,Upper South Fork Salmon River,1.71E+11,Curtis Creek,-8,10/1/1979,1/1/2100
339,UT,SNOTEL,Big Flat,38.30183,-112.35672,10349,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030007,Beaver Bottoms-Upper Beaver,1603000702,South Creek-Beaver River,1.60E+11,Three Creeks,-8,10/1/1978,1/1/2100
931,WY,SNOTEL,Big Goose,44.57924,-107.20068,7990,10,Missouri Region,1009,Powder-Tongue,100901,Tongue,10090101,Upper Tongue,1009010101,Fool Creek-Tongue River,1.01E+11,Upper South Tongue River,-8,7/22/1998,1/1/2100
340,NV,SNOTEL,Big Meadow,39.455,-119.9422,8235,16,Great Basin Region,1605,Central Lahontan,160501,Truckee,16050102,Truckee,1605010205,City of Reno-Truckee River,1.61E+11,Hunter Creek-Truckee River,-8,10/1/1983,1/1/2100
341,OR,SNOTEL,Big Red Mountain,42.05257,-122.85487,6050,17,Pacific Northwest Region,1710,Oregon-Washington Coastal,171003,Southern Oregon Coastal,17100309,Applegate,1710030903,Little Applegate River,1.71E+11,Upper Little Applegate River,-8,10/1/1979,1/1/2100
342,WY,SNOTEL,Big Sandy Opening,42.6458,-109.25965,9080,14,Upper Colorado Region,1404,Great Divide-Upper Green,140401,Upper Green,14040104,Big Sandy,1404010401,Upper Big Sandy River,1.40E+11,Black Joe Creek-Big Sandy River,-8,3/1/1963,1/1/2100
343,OR,SNOTEL,Bigelow Camp,42.07875,-123.34393,5130,17,Pacific Northwest Region,1710,Oregon-Washington Coastal,171003,Southern Oregon Coastal,17100309,Applegate,1710030901,Headwaters Applegate River,1.71E+11,Sturgis Fork Carberry Creek,-8,10/1/1979,1/1/2100
344,OR,SNOTEL,Billie Creek Divide,42.40717,-122.26617,5280,18,California Region,1801,Klamath-Northern California Coastal,180102,Klamath,18010203,Upper Klamath Lake,1801020302,Fourmile Creek,1.80E+11,Seldom Creek,-8,10/1/1978,1/1/2100
1155,NV,SNOTEL,Bird Creek,39.46138,-114.64863,7537,16,Great Basin Region,1606,Central Nevada Desert Basins,160600,Central Nevada Desert Basins,16060008,Spring-Steptoe Valleys,1606000813,Headwaters Duck Creek,1.61E+11,Timber Creek-Duck Creek,-8,10/1/2011,1/1/2100
345,CO,SNOTEL,Bison Lake,39.76487,-107.35681,10880,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000114,Deep Creek,1.40E+11,Headwaters Deep Creek,-8,9/30/1985,1/1/2100
346,MT,SNOTEL,Bisson Creek,47.68389,-113.99901,4920,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010212,Lower Flathead,1701021206,Flathead River-Pablo Reservoir,1.70E+11,Mud Creek,-8,10/1/1988,1/1/2100
347,MT,SNOTEL,Black Bear,44.50832,-111.12803,8170,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020007,Madison,1002000702,Headwaters Madison River,1.00E+11,Madison Arm-Madison River,-8,10/1/1967,1/1/2100
348,UT,SNOTEL,Black Flat-U.M. Ck,38.6799,-111.59765,9414,14,Upper Colorado Region,1407,Upper Colorado-Dirty Devil,140700,Upper Colorado-Dirty Devil,14070003,Fremont,1407000301,Headwaters Fremont River,1.41E+11,U M Creek,-8,6/19/1980,1/1/2100
1185,CO,SNOTEL,Black Mesa,37.78972,-108.18365,11580,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000201,West Dolores River,1.40E+11,Fish Creek,-8,7/28/2011,1/1/2100
1161,CO,SNOTEL,Black Mountain,40.888,-105.66397,8920,10,Missouri Region,1019,South Platte,101900,South Platte,10190007,Cache La Poudre,1019000705,Dale Creek,1.02E+11,Upper Dale Creek,-8,10/1/2010,1/1/2100
349,MT,SNOTEL,Black Pine,46.414,-113.43095,7210,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010202,Flint-Rock,1701020202,Middle Flint Creek,1.70E+11,Marshall Creek,-8,10/1/1965,1/1/2100
1119,WY,SNOTEL,Blackhall Mtn,41.05616,-106.71384,9820,10,Missouri Region,1018,North Platte,101800,North Platte,10180002,Upper North Platte,1018000205,Encampment River,1.02E+11,Billie Creek-Encampment River,-8,8/7/2009,1/1/2100
1162,UT,SNOTEL,Blacks Fork Jct,40.95814,-110.5828,8869,14,Upper Colorado Region,1404,Great Divide-Upper Green,140401,Upper Green,14040107,Blacks Fork,1404010703,Cottonwood Creek,1.40E+11,Lower Cottonwood Creek,-8,10/23/2010,1/1/2100
1144,MT,SNOTEL,Blacktail Mtn,47.98288,-114.3543,5650,17,Pacific Northwest Region,1701,Kootenai-Pend Oreille-Spokane,170102,Pend Oreille,17010208,Flathead Lake,1701020803,Lake Mary Ronan,1.70E+11,Ronan Creek,-8,8/25/2010,1/1/2100
350,WY,SNOTEL,Blackwater,44.37667,-109.79333,9780,10,Missouri Region,1008,Big Horn,100800,Big Horn,10080012,North Fork Shoshone,1008001202,Middle North Fork Shoshone River,1.01E+11,Lower Elk Fork,-8,10/1/1979,1/1/2100
351,OR,SNOTEL,Blazed Alder,45.4287,-121.85605,3650,17,Pacific Northwest Region,1708,Lower Columbia,170800,Lower Columbia,17080001,Lower Columbia-Sandy,1708000101,Upper Sandy River,1.71E+11,Clear Creek-Sandy River,-8,10/1/1979,1/1/2100
352,WA,SNOTEL,Blewett Pass,47.35037,-120.6796,4240,17,Pacific Northwest Region,1702,Upper Columbia,170200,Upper Columbia,17020011,Wenatchee,1702001105,Peshastin Creek,1.70E+11,Upper Peshastin Creek,-8,10/1/1979,1/1/2100
353,WY,SNOTEL,Blind Bull Sum,42.964,-110.60973,8650,14,Upper Colorado Region,1404,Great Divide-Upper Green,140401,Upper Green,14040101,Upper Green,1404010104,Forty Rod Creek-Green River,1.40E+11,Forty Rod Creek,-8,10/1/1978,1/1/2100
354,SD,SNOTEL,Blind Park,44.10772,-103.97688,6890,10,Missouri Region,1012,Cheyenne,101201,Cheyenne,10120110,Rapid,1012011001,Upper Rapid Creek,1.01E+11,Upper Castle Creek,-8,10/1/1989,1/1/2100
355,MT,SNOTEL,Bloody Dick,45.16507,-113.50099,7600,10,Missouri Region,1002,Missouri Headwaters,100200,Missouri Headwaters,10020001,Red Rock,1002000110,Bloody Dick Creek,1.00E+11,Upper Bloody Dick Creek,-8,10/1/1976,1/1/2100
356,CA,SNOTEL,Blue Lakes,38.608,-119.92437,8067,18,California Region,1804,San Joaquin,180400,San Joaquin,18040012,Upper Mokelumne,1804001201,Upper North Fork Mokelumne River,1.80E+11,Deer Creek,-8,10/1/1980,1/1/2100
357,OR,SNOTEL,Blue Mountain Spring,44.24767,-118.51722,5870,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050116,Upper Malheur,1705011601,Headwaters Malheur River,1.71E+11,Summit Creek,-8,10/1/1978,1/1/2100
1278,UT,SNOTEL,Bobs Hollow,38.94569,-112.15349,9319,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030005,Lower Sevier,1603000514,Chalk Creek,1.60E+11,North Fork Chalk Creek,-8,10/6/2016,1/1/2100
978,ID,SNOTEL,Bogus Basin,43.76377,-116.09685,6340,17,Pacific Northwest Region,1705,Middle Snake,170501,Middle Snake-Boise,17050122,Payette,1705012202,Shafer Creek,1.71E+11,Cottonwood Creek-Shafer Creek,-8,9/21/1999,1/1/2100
358,WY,SNOTEL,Bone Springs Div,44.67888,-107.5811,9350,10,Missouri Region,1008,Big Horn,100800,Big Horn,10080010,Big Horn Lake,1008001001,Upper Shell Creek,1.01E+11,Granite Creek-Shell Creek,-8,10/1/1978,1/1/2100
359,ID,SNOTEL,Bostetter R.S.,42.16442,-114.19272,7500,17,Pacific Northwest Region,1704,Upper Snake,170402,Upper Snake,17040212,Upper Snake-Rock,1704021202,Big Cottonwood Creek,1.70E+11,Upper Big Cottonwood Creek,-8,10/1/1979,1/1/2100
360,MT,SNOTEL,Boulder Mountain,46.5596,-111.28973,7950,10,Missouri Region,1003,Missouri-Marias,100301,Upper Missouri,10030103,Smith,1003010305,Camas Creek-Smith River,1.00E+11,Upper Camas Creek,-8,10/1/1976,1/1/2100
361,OR,SNOTEL,Bourne,44.83052,-118.18787,5850,17,Pacific Northwest Region,1705,Middle Snake,170502,Middle Snake-Powder,17050203,Powder,1705020301,Upper Powder River,1.71E+11,Cracker Creek,-8,10/1/1978,1/1/2100
362,OR,SNOTEL,Bowman Springs,45.36428,-118.46715,4530,17,Pacific Northwest Region,1707,Middle Columbia,170701,Middle Columbia,17070103,Umatilla,1707010304,McKay Creek,1.71E+11,Johnson Creek,-8,10/1/1978,1/1/2100
363,MT,SNOTEL,Box Canyon,45.2719,-110.24903,6670,10,Missouri Region,1007,Upper Yellowstone,100700,Upper Yellowstone,10070002,Upper Yellowstone,1007000209,Boulder River,1.01E+11,Headwaters Boulder River,-8,10/1/1976,1/1/2100
364,UT,SNOTEL,Box Creek,38.50809,-112.01856,9853,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030002,East Fork Sevier,1603000201,Upper Otter Creek,1.60E+11,Greenwich Creek,-8,8/4/1979,1/1/2100
1156,UT,SNOTEL,Box Springs,38.49746,-112.00779,9228,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030002,East Fork Sevier,1603000201,Upper Otter Creek,1.60E+11,Box Creek,-8,10/1/2010,1/1/2100
365,MT,SNOTEL,Brackett Creek,45.89107,-110.93851,7320,10,Missouri Region,1007,Upper Yellowstone,100700,Upper Yellowstone,10070003,Shields,1007000304,Middle Shields River,1.01E+11,Upper Brackett Creek,-8,8/1/1992,1/1/2100
1154,UT,SNOTEL,Brian Head,37.67994,-112.85674,10039,16,Great Basin Region,1603,Escalante Desert-Sevier Lake,160300,Escalante Desert-Sevier Lake,16030006,Escalante Desert,1603000602,Little Salt Lake,1.60E+11,Dry Lakes Creek,-8,10/1/2011,1/1/2100
366,UT,SNOTEL,Brighton,40.59936,-111.58167,8766,16,Great Basin Region,1602,Great Salt Lake,160202,Jordan,16020204,Jordan,1602020402,Big Cottonwood Creek-Jordan River,1.60E+11,Headwaters Big Cottonwood Canyon,-8,9/24/1986,1/1/2100
1111,NV,SNOTEL,Bristlecone Trail,36.31575,-115.69543,8890,15,Lower Colorado Region,1501,Lower Colorado-Lake Mead,150100,Lower Colorado-Lake Mead,15010015,Las Vegas Wash,1501001502,Deer Creek-Las Vegas Wash,1.50E+11,Lee Canyon,-8,10/1/2008,1/1/2100
367,WY,SNOTEL,Brooklyn Lake,41.35885,-106.23209,10240,10,Missouri Region,1018,North Platte,101800,North Platte,10180010,Upper Laramie,1018001005,Spring Creek-Laramie River,1.02E+11,Spring Creek,-8,10/1/1962,1/1/2100
368,UT,SNOTEL,Brown Duck,40.58102,-110.58587,10574,14,Upper Colorado Region,1406,Lower Green,140600,Lower Green,14060003,Duchesne,1406000306,Headwaters Lake Fork River,1.41E+11,Brown Duck Creek-Lake Fork River,-8,10/1/1978,1/1/2100
1080,WA,SNOTEL,Brown Top,48.92755,-121.19713,5830,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110005,Upper Skagit,1711000506,Cascade River,1.71E+11,Little Beaver Creek,-8,9/15/2009,1/1/2100
369,CO,SNOTEL,Brumley,39.08766,-106.5417,10600,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020001,Arkansas Headwaters,1102000101,Lake Creek,1.10E+11,North Fork Lake Creek,-8,10/1/1979,1/1/2100
370,ID,SNOTEL,Brundage Reservoir,45.04315,-116.13253,6250,17,Pacific Northwest Region,1706,Lower Snake,170602,Salmon,17060210,Little Salmon,1706021001,Upper Little Salmon River,1.71E+11,Upper Goose Creek,-8,10/1/1985,1/1/2100
371,UT,SNOTEL,Buck Flat,39.134,-111.43722,9409,14,Upper Colorado Region,1406,Lower Green,140600,Lower Green,14060009,San Rafael,1406000903,Ferron Creek,1.41E+11,Ferron Reservoir-Ferron Creek,-8,10/1/1978,1/1/2100
1192,UT,SNOTEL,Buck Pasture,40.84456,-110.66068,9632,14,Upper Colorado Region,1404,Great Divide-Upper Green,140401,Upper Green,14040107,Blacks Fork,1404010703,Cottonwood Creek,1.40E+11,Upper Cottonwood Creek,-8,11/23/2011,1/1/2100
1153,UT,SNOTEL,Buckboard Flat,37.86943,-109.44717,8924,14,Upper Colorado Region,1408,San Juan,140802,Lower San Juan,14080203,Montezuma,1408020301,Vega Creek-Montezuma Creek,1.41E+11,North Creek-Montezuma Creek,-8,10/1/2012,1/1/2100
1107,WA,SNOTEL,Buckinghorse,47.7086,-123.45747,4870,17,Pacific Northwest Region,1711,Puget Sound,171100,Puget Sound,17110020,Dungeness-Elwha,1711002005,Elwha River,1.71E+11,Headwaters Elwha River,-8,6/19/2008,1/1/2100
938,CO,SNOTEL,Buckskin Joe,39.3035,-106.11307,11150,10,Missouri Region,1019,South Platte,101900,South Platte,10190001,South Platte Headwaters,1019000101,Middle Fork South Platte River,1.02E+11,Headwaters Middle Fork South Platte River,-8,8/10/1998,1/1/2100
